Gracz,Rasa,Hexy,Technologia,Reputacja,Ambasador,Odkrycia,Monolity,Anomalie + Straożytni,Rasowe Bonusy,Inne,Suma,Miejsce,Liczba Graczy,Data,Czas,Wygrany
ESAdv,Exiles,,,,,,,,,,34,4,,,,
ESAdv,Mechanema,,,,,,,,,,40,2,,,,
ESAdv,Orion,,,,,,,,,,26,5,,18,,

ESAdv,Hydranie,,,,,,,,,,34,3,,,,
ESAdv,Eridani,,,,,,,,,,33,4,,,,
ESAdv,Magellanie,,,,,,,,,,37,2,,,,
ESAdv,Mechanema,,,,,,,,,,18,5,,,,
ESAdv,Planta,,,,,,,,,,49,1,,19,,

ESAdv,Eridani,,,,,,,,,,34,2,,,,
ESAdv,Draco,,,,,,,,,,39,1,,,,
ESAdv,Rho Indi,,,,,,,,,,15,4,,,,
ESAdv,Hydranie,,,,,,,,,,18,3,,20,,

ESAdv,Mechanema,,,,,,,,,,38,2,,,,
ESAdv,Rho Indi,,,,,,,,,,43,1,,,,
ESAdv,Orion,,,,,,,,,,17,5,,,,
ESAdv,Hydranie,,,,,,,,,,28,3,,23,,

ESAdv,Orion,,,,,,,,,,38,2,,,,
ESAdv,Hydranie,,,,,,,,,,20,4,,,,
ESAdv,Exiles,,,,,,,,,,26,3,,,,
ESAdv,Rho Indi,,,,,,,,,,20,4,,,,
ESAdv,Magellanie,,,,,,,,,,42,1,,24,,

ESAdv,Draco,,,,,,,,,,43,1,,,,
ESAdv,Hydranie,,,,,,,,,,27,4,,,,
ESAdv,Orion,,,,,,,,,,42,2,,,,
ESAdv,Magellanie,,,,,,,,,,32,3,,,,
ESAdv,Mechanema,,,,,,,,,,12,5,,26,,

ESAdv,Orion,,,,,,,,,,35,1,,,,
ESAdv,Magellanie,,,,,,,,,,27,4,,,,
ESAdv,Rho Indi,,,,,,,,,,32,2,,,,
ESAdv,Eridani,,,,,,,,,,23,5,,,,
ESAdv,Hydranie,,,,,,,,,,28,3,,29,,

ESAdv,Ludzie,,,,,,,,,,31,2,,,,
ESAdv,Mechanema,,,,,,,,,,18,6,,,,
ESAdv,Orion,,,,,,,,,,31,1,,,,
ESAdv,Exiles,,,,,,,,,,30,3,,,,
ESAdv,Hydranie,,,,,,,,,,27,4,,,,
ESAdv,Magellanie,,,,,,,,,,27,5,,30,,

ESAdv,Orion,,,,,,,,,,44,1,,,,
ESAdv,Hydranie,,,,,,,,,,43,2,,,,
ESAdv,Planta,,,,,,,,,,22,3,,,,
ESAdv,Mechanema,,,,,,,,,,17,4,,31,,

ESAdv,Lyra,,,,,,,,,,35,1,,,,
ESAdv,Mechanema,,,,,,,,,,34,2,,,,
ESAdv,Draco,,,,,,,,,,10,4,,,,
ESAdv,Planta,,,,,,,,,,33,3,,32,,

ESAdv,Exiles,,,,,,,,,,33,2,,,,
ESAdv,Rho Indi,,,,,,,,,,37,1,,,,
ESAdv,Mechanema,,,,,,,,,,30,3,,,,
ESAdv,Magellanie,,,,,,,,,,20,4,,33,,

ESAdv,Ludzie 2,,,,,,,,,,16,6,,,,
ESAdv,Ludzie,,,,,,,,,,25,5,,,,
ESAdv,Rho Indi,,,,,,,,,,34,3,,,,
ESAdv,Magellanie,,,,,,,,,,48,1,,,,
ESAdv,Planta,,,,,,,,,,34,2,,,,
ESAdv,Exiles,,,,,,,,,,30,4,,35,,

ESAdv,Draco,,,,,,,,,,17,6,,,,
ESAdv,Rho Indi,,,,,,,,,,36,1,,,,
ESAdv,Planta,,,,,,,,,,29,4,,,,
ESAdv,Orion,,,,,,,,,,31,3,,,,
ESAdv,Exiles,,,,,,,,,,18,5,,,,
ESAdv,Mechanema,,,,,,,,,,33,2,,36,,

ESAdv,Mechanema,,,,,,,,,,10,6,,,,
ESAdv,Planta,,,,,,,,,,47,1,,,,
ESAdv,Hydranie,,,,,,,,,,36,4,,,,
ESAdv,Magellanie,,,,,,,,,,42,2,,,,
ESAdv,Orion,,,,,,,,,,22,5,,,,
ESAdv,Magellanie 2,,,,,,,,,,38,3,,37,,

ESAdv,Mechanema,,,,,,,,,,22,5,,,,
ESAdv,Eridani,,,,,,,,,,46,1,,,,
ESAdv,Ludzie,,,,,,,,,,30,2,,,,
ESAdv,Exiles,,,,,,,,,,30,3,,,,
ESAdv,Hydranie,,,,,,,,,,25,4,,38,,

ESAdv,Dorado,,,,,,,,,,43,3,,,,
ESAdv,Magellanie,,,,,,,,,,51,1,,,,
ESAdv,Orion,,,,,,,,,,23,5,,,,
ESAdv,Eridani,,,,,,,,,,29,4,,,,
ESAdv,Octanis,,,,,,,,,,49,2,,39,,

ESAdv,Mechanema,,,,,,,,,,27,5,,,,
ESAdv,Pyxis,,,,,,,,,,41,2,,,,
ESAdv,Magellanie,,,,,,,,,,39,3,,,,
ESAdv,Hydranie,,,,,,,,,,51,1,,,,
ESAdv,Orion,,,,,,,,,,21,6,,,,
ESAdv,Dorado,,,,,,,,,,33,4,,41,,

ESAdv,Orion,,,,,,,,,,33,4,,,,
ESAdv,Dorado,,,,,,,,,,48,1,,,,
ESAdv,Eridani,,,,,,,,,,32,5,,,,
ESAdv,Octanis,,,,,,,,,,40,3,,,,
ESAdv,Lyra,,,,,,,,,,32,6,,,,
ESAdv,Hydranie,,,,,,,,,,45,2,,42,,

ESAdv,Rho Indi,,,,,,,,,,18,5,,,,
ESAdv,Octanis,,,,,,,,,,28,3,,,,
ESAdv,Eridani,,,,,,,,,,33,2,,,,
ESAdv,Orion,,,,,,,,,,38,1,,,,
ESAdv,Magellanie,,,,,,,,,,22,4,,44,,

ESAdv,Mechanema,,,,,,,,,,44,2,,,,
ESAdv,Ludzie,,,,,,,,,,53,1,,,,
ESAdv,Lyra,,,,,,,,,,42,3,,,,
ESAdv,Planta,,,,,,,,,,37,4,,,,
ESAdv,Pyxis,,,,,,,,,,22,5,,46,,

ESAdv,Pyxis,,,,,,,,,,36,3,,,,
ESAdv,Exiles,,,,,,,,,,46,1,,,,
ESAdv,Mechanema,,,,,,,,,,26,5,,,,
ESAdv,Planta,,,,,,,,,,31,4,,,,
ESAdv,Dorado,,,,,,,,,,38,2,,47,,

ESAdv,Orion,,,,,,,,,,30,3,,,,
ESAdv,Ludzie,,,,,,,,,,38,1,,,,
ESAdv,Mechanema,,,,,,,,,,38,2,,,,
ESAdv,Octanis,,,,,,,,,,29,4,,,,
ESAdv,Hydranie,,,,,,,,,,26,5,,,,
ESAdv,Eridani,,,,,,,,,,23,6,,49,,

ESAdv,Magellanie,,,,,,,,,,34,4,,,,
ESAdv,Exiles,,,,,,,,,,32,5,,,,
ESAdv,Mechanema,,,,,,,,,,35,2,,,,
ESAdv,Dorado,,,,,,,,,,42,1,,,,
ESAdv,Pyxis,,,,,,,,,,27,6,,,,
ESAdv,Planta,,,,,,,,,,34,3,,52,,

ESAdv,Octanis,,,,,,,,,,42,1,,,,
ESAdv,Mechanema,,,,,,,,,,35,3,,,,
ESAdv,Magellanie,,,,,,,,,,33,5,,,,
ESAdv,Orion,,,,,,,,,,34,4,,,,
ESAdv,Exiles,,,,,,,,,,40,2,,,,
ESAdv,Pyxis,,,,,,,,,,32,6,,53,,

ESAdv,Orion,,,,,,,,,,32,4,,,,
ESAdv,Exiles,,,,,,,,,,27,5,,,,
ESAdv,Planta,,,,,,,,,,59,1,,,,
ESAdv,Mechanema,,,,,,,,,,32,3,,,,
ESAdv,Draco,,,,,,,,,,32,2,,,,
ESAdv,Magellanie,,,,,,,,,,20,6,,54,,

ESAdv,Lyra,,,,,,,,,,38,2,,,,
ESAdv,Orion,,,,,,,,,,35,3,,,,
ESAdv,Mechanema,,,,,,,,,,38,1,,,,
ESAdv,Pyxis,,,,,,,,,,21,5,,,,
ESAdv,Planta,,,,,,,,,,31,4,,55,,

ESAdv,Octanis,,,,,,,,,,39,2,,,,
ESAdv,Mechanema,,,,,,,,,,38,3,,,,
ESAdv,Hydranie,,,,,,,,,,29,5,,,,
ESAdv,Exiles,,,,,,,,,,36,4,,,,
ESAdv,Eridani,,,,,,,,,,21,6,,,,
ESAdv,Magellanie,,,,,,,,,,41,1,,56,,

ESAdv,Mechanema,,,,,,,,,,41,2,,,,
ESAdv,Hydranie,,,,,,,,,,33,5,,,,
ESAdv,Orion,,,,,,,,,,44,1,,,,
ESAdv,Ludzie,,,,,,,,,,39,3,,,,
ESAdv,Pyxis,,,,,,,,,,29,6,,,,
ESAdv,Magellanie,,,,,,,,,,35,4,,57,,

ESAdv,Mechanema,,,,,,,,,,37,3,,,,
ESAdv,Rho Indi,,,,,,,,,,32,4,,,,
ESAdv,Pyxis,,,,,,,,,,44,2,,,,
ESAdv,Magellanie,,,,,,,,,,27,5,,,,
ESAdv,Dorado,,,,,,,,,,48,1,,59,,

ESAdv,Hydranie,,,,,,,,,,38,2,,,,
ESAdv,Orion,,,,,,,,,,32,4,,,,
ESAdv,Ludzie,,,,,,,,,,21,5,,,,
ESAdv,Lyra,,,,,,,,,,36,3,,,,
ESAdv,Dorado,,,,,,,,,,50,1,,60,,

ESAdv,Draco,,,,,,,,,,45,1,,,,
ESAdv,Ludzie,,,,,,,,,,25,5,,,,
ESAdv,Octanis,,,,,,,,,,41,2,,,,
ESAdv,Mechanema,,,,,,,,,,29,3,,,,
ESAdv,Pyxis,,,,,,,,,,27,4,,64,,

ESAdv,Draco,,,,,,,,,,24,5,,,,
ESAdv,Pyxis,,,,,,,,,,37,3,,,,
ESAdv,Exiles,,,,,,,,,,42,2,,,,
ESAdv,Dorado,,,,,,,,,,32,4,,,,
ESAdv,Magellanie,,,,,,,,,,44,1,,66,,

ESAdv,Eridani,,,,,,,,,,29,4,,,,
ESAdv,Pyxis,,,,,,,,,,47,1,,,,
ESAdv,Magellanie,,,,,,,,,,41,2,,,,
ESAdv,Exiles,,,,,,,,,,34,3,,,,
ESAdv,Octanis,,,,,,,,,,25,5,,67,,

ESAdv,Lyra,,,,,,,,,,43,2,,,,
ESAdv,Magellanie,,,,,,,,,,50,1,,,,
ESAdv,Orion,,,,,,,,,,21,6,,,,
ESAdv,Mechanema,,,,,,,,,,21,5,,,,
ESAdv,Dorado,,,,,,,,,,33,3,,,,
ESAdv,Magellanie 2,,,,,,,,,,25,4,,68,,

ESAdv,Magellanie,,,,,,,,,,45,1,,,,
ESAdv,Hydranie,,,,,,,,,,38,3,,,,
ESAdv,Rho Indi,,,,,,,,,,32,5,,,,
ESAdv,Mechanema,,,,,,,,,,34,4,,,,
ESAdv,Dorado,,,,,,,,,,39,2,,,,
ESAdv,Pyxis,,,,,,,,,,30,6,,69,,

ESAdv,Planta,,,,,,,,,,30,6,,,,
ESAdv,Mechanema,,,,,,,,,,39,1,,,,
ESAdv,Rho Indi,,,,,,,,,,38,2,,,,
ESAdv,Hydranie,,,,,,,,,,32,4,,,,
ESAdv,Octanis,,,,,,,,,,37,3,,,,
ESAdv,Magellanie,,,,,,,,,,30,5,,70,,

ESAdv,Planta,,,,,,,,,,35,4,,,,
ESAdv,Rho Indi,,,,,,,,,,35,4,,,,
ESAdv,Mechanema,,,,,,,,,,32,6,,,,
ESAdv,Exiles,,,,,,,,,,42,1,,,,
ESAdv,Octanis,,,,,,,,,,39,2,,,,
ESAdv,Draco,,,,,,,,,,38,3,,71,,

ESAdv,Draco,,,,,,,,,,33,3,,,,
ESAdv,Ludzie,,,,,,,,,,36,2,,,,
ESAdv,Eridani,,,,,,,,,,26,6,,,,
ESAdv,Hydranie,,,,,,,,,,29,5,,,,
ESAdv,Ludzie 2,,,,,,,,,,31,4,,,,
ESAdv,Planta,,,,,,,,,,47,1,,73,,

ESAdv,Mechanema,,,,,,,,,,37,2,,,,
ESAdv,Octanis,,,,,,,,,,48,1,,,,
ESAdv,Magellanie,,,,,,,,,,22,5,,,,
ESAdv,Orion,,,,,,,,,,25,4,,,,
ESAdv,Rho Indi,,,,,,,,,,33,3,,74,,

ESAdv,Mechanema,,,,,,,,,,43,1,,,,
ESAdv,Orion,,,,,,,,,,12,6,,,,
ESAdv,Hydranie,,,,,,,,,,37,3,,,,
ESAdv,Ludzie,,,,,,,,,,29,4,,,,
ESAdv,Planta,,,,,,,,,,14,5,,,,
ESAdv,Magellanie,,,,,,,,,,38,2,,75,,

ESAdv,Planta,,,,,,,,,,36,4,,,,
ESAdv,Orion,,,,,,,,,,38,3,,,,
ESAdv,Draco,,,,,,,,,,27,5,,,,
ESAdv,Hydranie,,,,,,,,,,19,6,,,,
ESAdv,Magellanie,,,,,,,,,,40,1,,,,
ESAdv,Octanis,,,,,,,,,,39,2,,77,,

ESAdv,Octanis,,,,,,,,,,27,4,,,,
ESAdv,Hydranie,,,,,,,,,,53,1,,,,
ESAdv,Orion,,,,,,,,,,29,3,,,,
ESAdv,Pyxis,,,,,,,,,,35,2,,,,
ESAdv,Mechanema,,,,,,,,,,23,5,,78,,

ESAdv,Mechanema,,,,,,,,,,33,5,,,,
ESAdv,Draco,,,,,,,,,,36,3,,,,
ESAdv,Planta,,,,,,,,,,31,6,,,,
ESAdv,Dorado,,,,,,,,,,38,2,,,,
ESAdv,Pyxis,,,,,,,,,,43,1,,,,
ESAdv,Orion,,,,,,,,,,33,4,,79,,

ESAdv,Orion,,,,,,,,,,42,2,,,,
ESAdv,Draco,,,,,,,,,,49,1,,,,
ESAdv,Magellanie,,,,,,,,,,40,3,,,,
ESAdv,Exiles,,,,,,,,,,36,4,,,,
ESAdv,Ludzie,,,,,,,,,,31,6,,,,
ESAdv,Hydranie,,,,,,,,,,32,5,,80,,

ESAdv,Rho Indi,,,,,,,,,,30,5,,,,
ESAdv,Dorado,,,,,,,,,,42,2,,,,
ESAdv,Lyra,,,,,,,,,,43,1,,,,
ESAdv,Hydranie,,,,,,,,,,31,4,,,,
ESAdv,Magellanie,,,,,,,,,,25,6,,,,
ESAdv,Eridani,,,,,,,,,,35,3,,81,,

ESAdv,Ludzie,,,,,,,,,,37,2,,,,
ESAdv,Lyra,,,,,,,,,,34,4,,,,
ESAdv,Mechanema,,,,,,,,,,23,6,,,,
ESAdv,Exiles,,,,,,,,,,29,5,,,,
ESAdv,Magellanie,,,,,,,,,,37,3,,,,
ESAdv,Dorado,,,,,,,,,,39,1,,82,,

ESAdv,Octanis,,,,,,,,,,35,3,,,,
ESAdv,Magellanie,,,,,,,,,,42,1,,,,
ESAdv,Ludzie,,,,,,,,,,24,5,,,,
ESAdv,Planta,,,,,,,,,,38,2,,,,
ESAdv,Rho Indi,,,,,,,,,,29,4,,83,,

ESAdv,Rho Indi,,,,,,,,,,30,4,,,,
ESAdv,Mechanema,,,,,,,,,,38,3,,,,
ESAdv,Lyra,,,,,,,,,,29,5,,,,
ESAdv,Hydranie,,,,,,,,,,21,6,,,,
ESAdv,Magellanie,,,,,,,,,,43,1,,,,
ESAdv,Dorado,,,,,,,,,,39,2,,85,,

ESAdv,Magellanie,,,,,,,,,,40,1,,,,
ESAdv,Orion,,,,,,,,,,29,5,,,,
ESAdv,Rho Indi,,,,,,,,,,34,2,,,,
ESAdv,Octanis,,,,,,,,,,30,4,,,,
ESAdv,Magellanie 2,,,,,,,,,,30,3,,86,,
